doc_id,original_word_count,cleaned_word_count,abstract_extracted,error
DOC0001,1512,792,False,
DOC0002,8909,8696,False,
DOC0003,8643,8496,True,
DOC0004,10311,8396,False,
DOC0005,6855,6424,False,
DOC0006,6855,6424,False,
DOC0007,9281,9213,False,
DOC0008,11859,11725,True,
DOC0009,10043,9924,True,
DOC0010,9562,9495,True,
DOC0011,10253,10201,False,
DOC0012,11651,11345,False,
DOC0013,8842,7591,False,
DOC0014,13429,13220,False,
DOC0015,14160,13522,False,
DOC0016,10579,10494,True,
DOC0017,8303,8176,False,
DOC0018,5874,5829,False,
DOC0019,9697,9508,True,
DOC0020,11219,11167,False,
DOC0021,11227,11144,False,
DOC0022,9836,8772,False,
DOC0023,10045,511,False,
DOC0024,11156,8356,False,
DOC0025,9073,7135,False,
DOC0026,8181,7088,False,
DOC0027,8130,7983,False,
DOC0028,16329,16127,False,
DOC0029,8481,7371,False,
DOC0030,9739,9695,False,
DOC0031,9482,8725,False,
DOC0032,10713,10501,False,
DOC0033,9024,8351,False,
DOC0034,10787,10205,False,
DOC0035,10859,10801,False,
DOC0036,8571,8372,False,
DOC0037,9342,9098,True,
DOC0038,1858,1098,False,
DOC0039,1955,919,False,
DOC0040,10849,8787,False,
DOC0041,5103,4661,False,
DOC0042,8691,8670,True,
DOC0043,21941,21416,False,
DOC0044,781,734,False,
DOC0045,13369,13291,True,
DOC0046,8632,8587,False,
DOC0047,0,0,False,
DOC0048,8013,7949,False,
DOC0049,7662,6858,False,
DOC0050,1297,1183,False,
DOC0051,10873,10745,False,
DOC0052,1765,944,False,
DOC0053,558,232,False,
DOC0054,0,0,False,
DOC0055,607,598,False,
DOC0056,3,0,False,
DOC0057,1022,1004,False,
DOC0058,7773,6498,False,
DOC0059,11875,8778,True,
DOC0060,55,55,False,
DOC0061,1486,726,False,
DOC0062,0,0,False,
DOC0063,0,0,False,
DOC0064,10772,10626,False,
DOC0065,13600,13474,True,
DOC0066,1056,1043,True,
DOC0067,10086,8038,False,
DOC0068,5644,4863,False,
DOC0069,12371,11413,False,
DOC0070,1272,1272,False,
DOC0071,10734,10506,True,
DOC0072,13466,13259,False,
DOC0073,9323,8090,False,
DOC0074,10945,10269,False,
DOC0075,7588,7530,False,
DOC0076,6757,6028,False,
DOC0077,8579,8481,False,
DOC0078,7679,6776,False,
DOC0079,9166,8935,True,
DOC0080,14725,14682,True,
DOC0081,4806,4519,False,
DOC0082,9250,9069,True,
DOC0083,11876,11360,False,
DOC0084,8312,8261,False,
DOC0085,11350,11268,False,
DOC0086,8807,8694,False,
DOC0087,8504,7000,False,
DOC0088,12203,12090,False,
DOC0089,12737,12735,False,
DOC0090,4654,3958,False,
DOC0091,14450,14334,False,
DOC0092,11581,10326,False,
DOC0093,7359,6184,False,
DOC0094,18183,14353,False,
DOC0095,8465,8373,True,
DOC0096,12298,11955,True,
DOC0097,9582,9530,True,
DOC0098,11825,11625,True,
DOC0099,8914,8749,False,
DOC0100,9851,8757,True,
DOC0101,11554,10578,True,
DOC0102,9018,8968,True,
DOC0103,5866,5478,True,
DOC0104,15461,15417,False,
DOC0105,7323,6860,True,
DOC0106,10683,10561,False,
DOC0107,14124,14064,False,
DOC0108,7572,7524,False,
DOC0109,6914,6209,False,
DOC0110,13612,12974,True,
DOC0111,10995,10872,True,
DOC0112,3389,2894,False,
DOC0113,10249,9952,True,
DOC0114,10249,9952,True,
DOC0115,13786,13525,True,
DOC0116,6175,6045,False,
DOC0117,9163,8994,False,
DOC0118,12852,12562,False,
DOC0119,6395,5717,False,
DOC0120,1004,813,False,
DOC0121,7161,6712,False,
DOC0122,10951,9899,False,
DOC0123,12000,11358,False,
DOC0124,8457,8374,False,
DOC0125,9263,8889,True,
DOC0126,8567,8538,True,
DOC0127,11005,10853,True,
DOC0128,11040,10023,False,
DOC0129,12588,10756,False,
DOC0130,6431,5975,False,
DOC0131,9807,9261,True,
DOC0132,13239,11386,False,
DOC0133,0,0,False,
DOC0134,8376,6901,False,
DOC0135,7499,7409,False,
DOC0136,7765,7696,True,
DOC0137,11949,11589,True,
DOC0138,14014,13883,True,
DOC0139,8475,8285,False,
DOC0140,9269,7955,False,
DOC0141,10924,10546,False,
DOC0142,10121,8139,True,
DOC0143,11413,10808,True,
DOC0144,1906,1809,False,
DOC0145,13291,11351,False,
DOC0146,6620,5356,False,
DOC0147,7886,7754,True,
DOC0148,7376,4488,True,
DOC0149,7647,7611,True,
DOC0150,8665,8662,False,
DOC0151,3681,3216,False,
DOC0152,3,0,False,
DOC0153,9728,9584,True,
DOC0154,10180,9546,True,
DOC0155,7838,7734,True,
DOC0156,8685,8563,True,
DOC0157,362,362,False,
DOC0158,12669,12326,True,
DOC0159,7434,6001,False,
DOC0160,3259,2487,False,
DOC0161,13686,13491,False,
DOC0162,6500,6493,False,
DOC0163,14876,14845,False,
DOC0164,13040,10951,False,
DOC0165,10873,10536,False,
DOC0166,9480,9388,False,
DOC0167,8796,6410,False,
DOC0168,10825,10716,False,
DOC0169,8732,8683,True,
DOC0170,9107,9021,False,
DOC0171,1124,1124,False,
DOC0172,11183,11014,False,
DOC0173,2876,2222,True,
